node_id,period,volume,order_count,promotion_flag,holiday_flag,observed_or_planned
DC_DELHI,2025-01,7100,747,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-01,6744,710,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-01,5593,589,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-01,3184,335,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-01,2093,220,FALSE,FALSE,OBSERVED
DC_DELHI,2025-02,7000,737,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-02,6790,715,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-02,5676,597,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-02,3166,333,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-02,2125,224,FALSE,FALSE,OBSERVED
DC_DELHI,2025-03,7300,768,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-03,6653,700,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-03,5578,587,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-03,3194,336,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-03,2071,218,FALSE,FALSE,OBSERVED
DC_DELHI,2025-04,7200,758,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-04,6982,735,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-04,5603,590,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-04,3295,347,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-04,2183,230,FALSE,FALSE,OBSERVED
DC_DELHI,2025-05,7400,779,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-05,6807,716,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-05,5824,613,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-05,3311,349,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-05,2155,227,FALSE,FALSE,OBSERVED
DC_DELHI,2025-06,7100,747,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-06,6739,709,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-06,5697,600,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-06,3289,346,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-06,2116,223,FALSE,FALSE,OBSERVED
DC_DELHI,2025-07,7500,789,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-07,6848,721,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-07,5669,597,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-07,3229,340,FALSE,FALSE,OBSERVED
