origin_id,destination_id,mode,rate_per_unit,distance_km,lead_time_days,lane_capacity,is_active_baseline,observed_current_volume
PLT_BADDI,DC_DELHI,ROAD,12,310,1.0,,TRUE,8200
PLT_BADDI,DC_MUMBAI,ROAD,28,1420,2.5,,TRUE,1800
PLT_BADDI,DC_KOLKATA,ROAD,32,1800,3.0,,TRUE,1200
PLT_BADDI,DC_GUWAHATI,ROAD,38,2200,3.5,,TRUE,600
PLT_PUNE,DC_MUMBAI,ROAD,8,150,0.5,,TRUE,5000
PLT_PUNE,DC_BENGALURU,ROAD,18,840,1.5,,TRUE,2800
PLT_HYDERABAD,DC_BENGALURU,ROAD,15,570,1.0,,TRUE,2800
PLT_HYDERABAD,DC_MUMBAI,ROAD,20,710,1.5,,TRUE,1500
PLT_HYDERABAD,DC_KOLKATA,ROAD,25,1500,2.5,,TRUE,1300
PLT_KOLKATA,DC_KOLKATA,ROAD,5,30,0.2,,TRUE,2700
PLT_KOLKATA,DC_GUWAHATI,ROAD,22,1000,2.0,,TRUE,1500
DC_DELHI,MKT_DELHI,ROAD,4,40,0.3,,TRUE,4200
DC_DELHI,MKT_JAIPUR,ROAD,10,270,0.8,,TRUE,1500
DC_DELHI,MKT_LUCKNOW,ROAD,14,500,1.2,,TRUE,1400
DC_DELHI,MKT_AHMEDABAD,ROAD,22,950,1.8,,TRUE,800
DC_DELHI,MKT_HYDERABAD,ROAD,28,1500,2.5,,TRUE,500
DC_MUMBAI,MKT_MUMBAI,ROAD,3,25,0.2,,TRUE,3800
DC_MUMBAI,MKT_AHMEDABAD,ROAD,12,530,1.0,,TRUE,1000
DC_MUMBAI,MKT_HYDERABAD,ROAD,18,710,1.5,,TRUE,1200
DC_MUMBAI,MKT_CHENNAI,ROAD,24,1330,2.2,,TRUE,500
DC_BENGALURU,MKT_BENGALURU,ROAD,3,20,0.2,,TRUE,3200
DC_BENGALURU,MKT_CHENNAI,ROAD,10,350,0.8,,TRUE,2400
DC_KOLKATA,MKT_KOLKATA,ROAD,3,15,0.2,,TRUE,2200
DC_KOLKATA,MKT_HYDERABAD,ROAD,22,1500,2.5,,TRUE,600
DC_GUWAHATI,MKT_GUWAHATI,ROAD,4,30,0.3,,TRUE,1100
DC_GUWAHATI,MKT_KOLKATA,ROAD,18,1000,2.0,,TRUE,600
PLT_PUNE,DC_NAGPUR,ROAD,16,700,1.5,,FALSE,0
PLT_HYDERABAD,DC_NAGPUR,ROAD,13,500,1.0,,FALSE,0
PLT_BADDI,DC_NAGPUR,ROAD,26,1300,2.5,,FALSE,0
DC_NAGPUR,MKT_HYDERABAD,ROAD,13,500,1.0,,FALSE,0
DC_NAGPUR,MKT_MUMBAI,ROAD,16,700,1.5,,FALSE,0
DC_NAGPUR,MKT_KOLKATA,ROAD,22,1100,2.0,,FALSE,0
DC_NAGPUR,MKT_AHMEDABAD,ROAD,20,950,1.8,,FALSE,0
DC_NAGPUR,MKT_LUCKNOW,ROAD,19,900,1.8,,FALSE,0
