market_id,market_name,latitude,longitude,region,state,priority_tier,sla_days
MKT_DELHI,Delhi,28.70,77.10,North,Delhi,High,2
MKT_MUMBAI,Mumbai,19.08,72.88,West,Maharashtra,High,2
MKT_BENGALURU,Bengaluru,12.97,77.59,South,Karnataka,High,2
MKT_CHENNAI,Chennai,13.08,80.27,South,Tamil Nadu,Medium,3
MKT_HYDERABAD,Hyderabad,17.38,78.49,South,Telangana,Medium,3
MKT_KOLKATA,Kolkata,22.57,88.36,East,West Bengal,Medium,3
MKT_AHMEDABAD,Ahmedabad,23.03,72.57,West,Gujarat,Medium,3
MKT_JAIPUR,Jaipur,26.91,75.79,North,Rajasthan,Medium,3
MKT_LUCKNOW,Lucknow,26.85,80.95,North,Uttar Pradesh,Medium,3
MKT_GUWAHATI,Guwahati,26.14,91.74,Northeast,Assam,Low,4
